Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
0.00000000000000000000e+00	3.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-3.00000000000000000000e+00	-0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	1.33072661855594270852e-01	0.00000000000000000000e+00	-0.00000000000000000000e+00	-1.33072661855594270852e-01	0.00000000000000000000e+00	
1.00000000000000000000e+00	2.99551262540032148252e+00	1.63473165668118203264e-01	-1.49520941672727876412e-12	-2.99551267017472788723e+00	-1.63473039246434359573e-01	3.88893189362349297690e-11	-7.55166340807052628020e-03	1.32720790194438914567e-01	-3.35836771584893305001e-12	7.55165111742459472383e-03	-1.32721727316411824971e-01	6.36833765929423892569e-11	
2.00000000000000000000e+00	2.98076935767244455278e+00	3.25872337861100480616e-01	2.22978753413340820180e-10	-2.98079609041592785701e+00	-3.26188584467188680271e-01	4.83016855437731058810e-10	-1.66699509078773698556e-02	1.31229821959716969060e-01	1.62727032095649436254e-10	1.66883814169638614033e-02	-1.31663177806742942577e-01	5.41939327889579367283e-10	
3.00000000000000000000e+00	2.95477375870110581246e+00	4.86462033832956275425e-01	2.57682238554789918322e-09	-2.95389291004533705021e+00	-4.86954434821938453304e-01	5.94410451283803208186e-09	-2.61618968318388170347e-02	1.29766536030365725596e-01	1.29491194372657024104e-09	2.65586874533500945372e-02	-1.29995502299957266246e-01	5.84692292282649527016e-09	
4.00000000000000000000e+00	2.91735666263404169740e+00	6.45241588178511626950e-01	3.32537621976343112452e-08	-2.91556809063861299691e+00	-6.45718470631928664893e-01	9.51065444118154209915e-08	-3.53073374053641947379e-02	1.28538744050316233736e-01	7.23599438172731816308e-09	3.60655867307434138680e-02	-1.27645180717491646405e-01	1.21833221870548180748e-07	
5.00000000000000000000e+00	2.86943986994565802817e+00	8.02267200661573531839e-01	1.03656834635539078412e-06	-2.86434527421614859577e+00	-7.99761160089137668194e-01	8.08315308736923535660e-07	-4.36988852550277070974e-02	1.25893314389267124698e-01	2.14280899473422156435e-06	4.68198303789561648403e-02	-1.23967453771499286352e-01	4.86543643660477905500e-07	
6.00000000000000000000e+00	2.81249099772757560345e+00	9.56142878245469729492e-01	7.84856309652338284336e-05	-2.80066214585005157645e+00	-9.48618448709024564280e-01	2.23454995157067488475e-05	-5.25723951798051092332e-02	1.23144105122977687294e-01	1.40952415725069184985e-04	5.38446931217772054024e-02	-1.17357265118729750530e-01	-1.44276562438909851729e-03	
7.00000000000000000000e+00	2.74388079063083667464e+00	1.10760265028441517998e+00	-1.22886207102783221509e-04	-2.72917969554702111168e+00	-1.08900719929542599829e+00	-2.35332075333451011534e-03	-6.13928039449872786637e-02	1.19804054251990907409e-01	2.85579119178687532848e-04	6.22674067590520963211e-02	-1.14891875847061661342e-01	-1.71257682025897787007e-03	
8.00000000000000000000e+00	2.66411660788768323016e+00	1.25427384094698624040e+00	-5.00397939143331109066e-04	-2.64827210964106596336e+00	-1.22540502301284326414e+00	-4.99659579069583990873e-03	-7.03790508453794594335e-02	1.16052399170975525933e-01	3.57625818064693764067e-05	7.08144435126260018976e-02	-1.10815428217656192222e-01	-1.51545681137885720861e-03	
9.00000000000000000000e+00	2.57286101748362305841e+00	1.39529647485906505011e+00	-1.05638318726056354077e-03	-2.55721817508500981475e+00	-1.35617367648390652057e+00	-6.99476016774769858431e-03	-8.03580558163344560452e-02	1.10994018455235141096e-01	-9.18000851362693538922e-05	7.96620701826548371915e-02	-1.06330104431537647569e-01	-8.41790444949625242706e-04	
1.00000000000000000000e+01	2.47035508342272391857e+00	1.52944045399037964472e+00	-1.23327814294054696406e-03	-2.45655090070544712688e+00	-1.48122641679751998467e+00	-7.61942550127033078194e-03	-8.87838929608188720533e-02	1.05904088047023198227e-01	-5.70711294272435091905e-05	8.78151945367972308620e-02	-1.01370689067598371280e-01	-8.30213266835576639210e-05	
1.10000000000000000000e+01	2.35820832783476630468e+00	1.65631572344042465872e+00	-1.67513960853221352022e-03	-2.34585924310689808436e+00	-1.60038032011544717470e+00	-8.77682348924446568972e-03	-9.75856314321941337164e-02	9.96261648387447990016e-02	-1.09305111624731022060e-04	9.64462285506802879942e-02	-9.67933722094550252901e-02	-1.24085748772686512917e-03	
1.20000000000000000000e+01	2.23615655726501838529e+00	1.77510351168630875485e+00	-3.24661429794749142874e-03	-2.22772759230280037457e+00	-1.71232945061959673794e+00	-1.23167882388360711010e-02	-1.04170062663612436604e-01	9.33488263767329740084e-02	-4.71246111486281829550e-04	1.03346469513488317671e-01	-8.96352344794019983976e-02	-1.60775718914087876327e-03	
1.30000000000000000000e+01	2.10980166306860938974e+00	1.88703636416122444430e+00	-4.31960044090499289959e-03	-2.09541043570603280344e+00	-1.81198685600574593835e+00	-1.46957711928271013424e-02	-1.09595251977721352965e-01	8.67522323971104680762e-02	-1.77538001275315770154e-05	1.15546116989383995666e-01	-7.99254024384360994837e-02	1.18492950113814003027e-04	
1.40000000000000000000e+01	1.97680806110251627850e+00	1.99033165718597571114e+00	-4.90049561388046246019e-03	-1.95038363523029278923e+00	-1.90108048924126049606e+00	-1.51394660287987939395e-02	-1.18244405165602362029e-01	7.88548838263170431828e-02	-9.94915274624762245928e-04	1.23814433308366694808e-01	-7.22621495563964683084e-02	-5.39289518176673207152e-04	
1.50000000000000000000e+01	1.83453425567758254822e+00	2.08283502816320797990e+00	-6.64245523667474340596e-03	-1.79680393467525956197e+00	-1.98058569961587216390e+00	-1.64834355677846190746e-02	-1.26607680452934023840e-01	6.96781673883360430644e-02	-1.11516001710341896430e-03	1.31619223538423896214e-01	-6.37730357967409150488e-02	-4.27317255462299346817e-04	
1.60000000000000000000e+01	1.68306516093701641346e+00	2.16365091240912610360e+00	-8.97403967498167955130e-03	-1.63541061410008770061e+00	-2.04943339536695612324e+00	-1.78967818958954520692e-02	-1.34390688447355605151e-01	6.01124247283129908848e-02	-1.37884372069331821373e-03	1.39292168193355658801e-01	-5.46160985518018005092e-02	-5.84697938803242626450e-04	
1.70000000000000000000e+01	1.52384088611961088233e+00	2.23275212611037199295e+00	-1.12165504686966323311e-02	-1.46616652844074968343e+00	-2.10574859278746107094e+00	-1.87266413418790689249e-02	-1.42047909142382577929e-01	4.98980956708709524894e-02	-1.38041758032776749714e-03	1.46692034339816756994e-01	-4.34005090101284574100e-02	-5.20982499858770389811e-05	
1.80000000000000000000e+01	1.35950760905226863962e+00	2.28644661612195632117e+00	-1.56950933089491095895e-02	-1.28929451803986139247e+00	-2.15100193068947787012e+00	-2.00186578490366591521e-02	-1.45932571282541945212e-01	3.53013172050883547448e-02	-4.12576751549234132382e-03	1.53517331415126773164e-01	-3.42346247141114209955e-02	1.94155341336513687523e-04	
1.90000000000000000000e+01	1.19090001571086578913e+00	2.32289102871569363984e+00	-2.24514910690692022499e-02	-1.10487512732366943702e+00	-2.18511534222307535202e+00	-2.20533979964078058478e-02	-1.51741157695658018811e-01	2.26897816516315256608e-02	-4.47698265416649095194e-03	1.60543749206779579053e-01	-2.20547073363455969908e-02	-9.04314850767007436666e-04	
2.00000000000000000000e+01	1.01674712105356057634e+00	2.34310345387284169050e+00	-2.77484325009691445985e-02	-9.14514350331023906371e-01	-2.20443816201441844527e+00	-2.43316086043619574097e-02	-1.59079827162653314465e-01	8.12228266032428980470e-03	-1.83345717806074120712e-03	1.66433295505943601444e-01	-7.95008142119108668355e-03	-1.71554686931701168978e-04	
2.10000000000000000000e+01	8.37509736067364007894e-01	2.34640121368400000890e+00	-3.06814539169566052879e-02	-7.19885440508684304461e-01	-2.20818048571233882527e+00	-2.52955496813299478276e-02	-1.63299039873957635427e-01	-6.94769248120212859487e-03	-1.67179567184046261145e-03	1.71137957471205748305e-01	5.92368875826931179374e-03	4.78741864425617975366e-05	
