Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
0.00000000000000000000e+00	3.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-3.00000000000000000000e+00	-0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	1.33072661855594270852e-01	0.00000000000000000000e+00	-0.00000000000000000000e+00	-1.33072661855594270852e-01	0.00000000000000000000e+00	
1.00000000000000000000e+00	2.99426352192948552755e+00	1.63544915114551187019e-01	4.80128137723153283864e-07	-2.99426775858293936494e+00	-1.63540419577061224565e-01	4.21672169666835551604e-07	-9.40579852615617585665e-03	1.32848641678288331702e-01	1.86863766602442868127e-06	9.39231103470840669734e-03	-1.32866966765200655853e-01	-6.98335804239448714241e-07	
2.00000000000000000000e+00	2.97708945439275529665e+00	3.26340111533206689298e-01	1.51057494685672888179e-05	-2.97708670016991217011e+00	-3.26445265263856643223e-01	1.93027865738975571623e-05	-1.87647895451676337275e-02	1.32031608580178511092e-01	1.11023993473177839540e-05	1.88080944225166128703e-02	-1.32074018660046310636e-01	2.72434245068474696736e-05	
3.00000000000000000000e+00	2.94851891889115469425e+00	4.87779932615571065746e-01	3.55733344954822021627e-05	-2.94842053601872278179e+00	-4.87927121282722864315e-01	3.00434741974082147192e-05	-2.81690302241625889490e-02	1.30714540519505539873e-01	2.11756388402514743742e-05	2.82095832604533046373e-02	-1.30737541851442762297e-01	-1.15827947936499465326e-05	
4.00000000000000000000e+00	2.90856736955209704831e+00	6.47159152099318291107e-01	5.99903340911546434887e-05	-2.90837966882421383730e+00	-6.47366851609137317070e-01	2.91717596759522161166e-05	-3.75225322207912506678e-02	1.28890514329387695369e-01	4.45295006968688062213e-06	3.75684183309082722624e-02	-1.28930072414096347222e-01	-6.61191303757959322935e-06	
5.00000000000000000000e+00	2.85728870162843628933e+00	8.03779350956059790434e-01	2.52749638399020173018e-05	-2.85705303869293913976e+00	-8.04078600908935348102e-01	-5.39272713219470810667e-06	-4.68836356980668264582e-02	1.26520307810321863684e-01	-3.17495894707189787055e-05	4.68743872121342997072e-02	-1.26593703666742746217e-01	-1.78627073954976029770e-05	
6.00000000000000000000e+00	2.79481824931708366933e+00	9.56910268885153958429e-01	-2.87346678715228695837e-05	-2.79444272899772894192e+00	-9.57383881430742489371e-01	-3.87186275953195084597e-05	-5.61594692283864799220e-02	1.23599671208579744985e-01	-1.86241869768225813307e-05	5.62948307586754737031e-02	-1.23689561805679568152e-01	-1.04624329847293362250e-05	
7.00000000000000000000e+00	2.72132485035249604977e+00	1.10587693780024354240e+00	-8.73367804868786231720e-05	-2.72064804393033643493e+00	-1.10653041063509216535e+00	-3.94157078323406951412e-05	-6.53692446389898956793e-02	1.20115769797386265361e-01	-4.73336843253168880127e-05	6.55109641474491688484e-02	-1.20200041873364638079e-01	2.20898773167400055929e-05	
8.00000000000000000000e+00	2.63693537533435851117e+00	1.24995938529732386613e+00	-1.63100143947080553682e-04	-2.63594908616216905273e+00	-1.25078728995575438887e+00	-2.82099680973785550144e-05	-7.44839804693697149496e-02	1.16067284293090086655e-01	-5.06255349533375723797e-05	7.46399151939498156638e-02	-1.16151723482310106905e-01	1.93453474419615083126e-05	
9.00000000000000000000e+00	2.54186113516937961521e+00	1.38842144284876378713e+00	-2.42271596716778865512e-04	-2.54054993566638964708e+00	-1.38941929520295270883e+00	-2.60401541686443573575e-05	-8.35209286436671277665e-02	1.11409453986136969261e-01	-3.66506863265787091993e-05	8.36813608770579087093e-02	-1.11488298026432369747e-01	3.25891705072668571956e-06	
